FIPS Code,Place,Population 2000,Population 2010,Population 2020,Pop. Rank '20,Pop. Change '00-'10,Pop. Change '10-'20,Per. Change '00-'10,Per. Change '10-'20
4700200,Adams,566.0,633.0,624,268,67.0,-9.0,0.1184,-0.0142
4700240,Adamsville,1983.0,2207.0,2265,159,224.0,58.0,0.113,0.0263
4700440,Alamo,2392.0,2461.0,2336,153,69.0,-125.0,0.0288,-0.0508
4700540,Alcoa,7734.0,8449.0,10978,56,715.0,2529.0,0.0924,0.2993
4700620,Alexandria,814.0,966.0,981,234,152.0,15.0,0.1867,0.0155
4700640,Algood,2942.0,3495.0,3963,118,553.0,468.0,0.188,0.1339
4700660,Allardt,642.0,634.0,555,273,-8.0,-79.0,-0.0125,-0.1246
4700940,Altamont,1136.0,1045.0,1117,226,-91.0,72.0,-0.0801,0.0689
4701640,Ardmore,1082.0,1213.0,1217,222,131.0,4.0,0.1211,0.0033
4701740,Arlington,2569.0,11517.0,14549,39,8948.0,3032.0,3.4831,0.2633
4702180,Ashland City,3641.0,4541.0,5193,100,900.0,652.0,0.2472,0.1436
4702320,Athens,13220.0,13458.0,14084,41,238.0,626.0,0.018,0.0465
4702340,Atoka,3235.0,8387.0,10008,62,5152.0,1621.0,1.5926,0.1933
4702380,Atwood,1000.0,938.0,940,237,-62.0,2.0,-0.062,0.0021
4702400,Auburntown,252.0,269.0,272,324,17.0,3.0,0.0675,0.0112
4702780,Baileyton,504.0,431.0,436,296,-73.0,5.0,-0.1448,0.0116
4703078,Baneberry,366.0,482.0,523,283,116.0,41.0,0.3169,0.0851
4703440,Bartlett,40543.0,54613.0,57786,11,14070.0,3173.0,0.347,0.0581
4703680,Baxter,1279.0,1365.0,1578,195,86.0,213.0,0.0672,0.156
4703760,Bean Station,,2826.0,2967,136,,141.0,,0.0499
4704240,Beersheba Springs,553.0,477.0,434,297,-76.0,-43.0,-0.1374,-0.0901
4704460,Bell Buckle,391.0,500.0,410,302,109.0,-90.0,0.2788,-0.18
4704620,Belle Meade,2943.0,2912.0,2901,137,-31.0,-11.0,-0.0105,-0.0038
4704720,Bells,2171.0,2437.0,2463,148,266.0,26.0,0.1225,0.0107
4705040,Benton,1138.0,1385.0,1523,201,247.0,138.0,0.217,0.0996
4705140,Berry Hill,674.0,537.0,2112,165,-137.0,1575.0,-0.2033,2.933
4705380,Bethel Springs,763.0,718.0,742,258,-45.0,24.0,-0.059,0.0334
4705860,Big Sandy,518.0,557.0,486,288,39.0,-71.0,0.0753,-0.1275
4706340,Blaine,1585.0,1856.0,2084,168,271.0,228.0,0.171,0.1228
4706960,Bluff City,1559.0,1733.0,1822,181,174.0,89.0,0.1116,0.0514
4707180,Bolivar,5802.0,5417.0,5205,99,-385.0,-212.0,-0.0664,-0.0391
4707840,Braden,271.0,282.0,255,328,11.0,-27.0,0.0406,-0.0957
4707860,Bradford,1113.0,1048.0,1001,230,-65.0,-47.0,-0.0584,-0.0448
4708280,Brentwood,23445.0,37060.0,45373,17,13615.0,8313.0,0.5807,0.2243
4708500,Brighton,1719.0,2735.0,2888,138,1016.0,153.0,0.591,0.0559
4708540,Bristol,24821.0,26702.0,27147,28,1881.0,445.0,0.0758,0.0167
4708920,Brownsville,10748.0,10292.0,9788,63,-456.0,-504.0,-0.0424,-0.049
4708960,Bruceton,1554.0,1478.0,1507,202,-76.0,29.0,-0.0489,0.0196
4709560,Bulls Gap,714.0,738.0,756,257,24.0,18.0,0.0336,0.0244
4709860,Burlison,453.0,425.0,367,305,-28.0,-58.0,-0.0618,-0.1365
4709880,Burns,1366.0,1468.0,1573,197,102.0,105.0,0.0747,0.0715
4710180,Byrdstown,903.0,803.0,798,251,-100.0,-5.0,-0.1107,-0.0062
4710440,Calhoun,496.0,490.0,536,280,-6.0,46.0,-0.0121,0.0939
4710560,Camden,3828.0,3582.0,3674,123,-246.0,92.0,-0.0643,0.0257
4711280,Carthage,2251.0,2306.0,2291,157,55.0,-15.0,0.0244,-0.0065
4711360,Caryville,2243.0,2297.0,2212,162,54.0,-85.0,0.0241,-0.037
4711980,Cedar Hill,298.0,314.0,301,317,16.0,-13.0,0.0537,-0.0414
4712100,Celina,1379.0,1495.0,1422,208,116.0,-73.0,0.0841,-0.0488
4712380,Centertown,257.0,243.0,297,318,-14.0,54.0,-0.0545,0.2222
4712420,Centerville,3793.0,3644.0,3532,128,-149.0,-112.0,-0.0393,-0.0307
4712880,Chapel Hill,943.0,1445.0,1717,187,502.0,272.0,0.5323,0.1882
4713020,Charleston,630.0,651.0,664,264,21.0,13.0,0.0333,0.02
4713080,Charlotte,1153.0,1235.0,1656,189,82.0,421.0,0.0711,0.3409
4714000,Chattanooga,155554.0,167674.0,181099,4,12120.0,13425.0,0.0779,0.0801
