COUNTY,WEEK_END_DATE,TOTAL_CASES,TOTAL_DEATHS,TOTAL_HOSP,Year
Anderson,2024-12-31,31417,435,396,2024
Bedford,2024-12-31,20296,269,399,2024
Benton,2024-12-31,6735,108,144,2024
Bledsoe,2024-12-31,5999,66,106,2024
Blount,2024-12-31,57660,597,1088,2024
Bradley,2024-12-31,42757,495,1334,2024
Campbell,2024-12-31,18703,202,196,2024
Cannon,2024-12-31,5558,80,112,2024
Carroll,2024-12-31,13745,184,287,2024
Carter,2024-12-31,24671,397,828,2024
Cheatham,2024-12-31,14529,155,282,2024
Chester,2024-12-31,8117,109,109,2024
Claiborne,2024-12-31,12967,226,175,2024
Clay,2024-12-31,2927,64,90,2024
Cocke,2024-12-31,16697,258,186,2024
Coffee,2024-12-31,23751,320,467,2024
Crockett,2024-12-31,7851,100,82,2024
Cumberland,2024-12-31,21767,369,378,2024
Davidson,2024-12-31,260206,1968,4687,2024
Decatur,2024-12-31,5034,88,110,2024
Dekalb,2024-12-31,8722,120,160,2024
Dickson,2024-12-31,23348,285,506,2024
Dyer,2024-12-31,17313,233,239,2024
Fayette,2024-12-31,16182,209,491,2024
Fentress,2024-12-31,7437,150,234,2024
Franklin,2024-12-31,18696,222,221,2024
Gibson,2024-12-31,25785,315,341,2024
Giles,2024-12-31,12706,221,306,2024
Grainger,2024-12-31,9208,132,127,2024
Greene,2024-12-31,32269,451,884,2024
Grundy,2024-12-31,5109,85,121,2024
Hamblen,2024-12-31,27495,411,388,2024
Hamilton,2024-12-31,134998,1338,3260,2024
Hancock,2024-12-31,3005,44,64,2024
Hardeman,2024-12-31,10542,148,225,2024
Hardin,2024-12-31,12676,181,207,2024
Hawkins,2024-12-31,25762,407,659,2024
Haywood,2024-12-31,9223,110,167,2024
Henderson,2024-12-31,12722,199,214,2024
Henry,2024-12-31,11322,189,321,2024
Hickman,2024-12-31,9324,133,188,2024
Houston,2024-12-31,3304,68,109,2024
Humphreys,2024-12-31,6778,89,188,2024
Jackson,2024-12-31,4391,78,147,2024
Jefferson,2024-12-31,21837,327,298,2024
Johnson,2024-12-31,7038,123,227,2024
Knox,2024-12-31,177491,1706,3005,2024
Lake,2024-12-31,3518,49,56,2024
Lauderdale,2024-12-31,10772,122,174,2024
Lawrence,2024-12-31,18207,241,524,2024
Lewis,2024-12-31,4471,74,106,2024
Lincoln,2024-12-31,12714,197,260,2024
Loudon,2024-12-31,22620,245,272,2024
Macon,2024-12-31,11785,169,290,2024
Madison,2024-12-31,47931,504,561,2024
Marion,2024-12-31,12183,152,308,2024
Marshall,2024-12-31,13955,148,256,2024
Maury,2024-12-31,39452,411,709,2024
McMinn,2024-12-31,21021,310,480,2024
McNairy,2024-12-31,10665,153,138,2024
Meigs,2024-12-31,4561,67,125,2024
Monroe,2024-12-31,20493,287,494,2024
Montgomery,2024-12-31,74480,665,753,2024
Moore,2024-12-31,3122,41,44,2024
Morgan,2024-12-31,9027,110,100,2024
Obion,2024-12-31,14980,230,317,2024
Overton,2024-12-31,9301,140,277,2024
Perry,2024-12-31,3244,64,68,2024
Pickett,2024-12-31,2508,43,88,2024
Polk,2024-12-31,6075,91,180,2024
Putnam,2024-12-31,32961,354,779,2024
Rhea,2024-12-31,12924,179,249,2024
Roane,2024-12-31,22600,295,312,2024
Robertson,2024-12-31,30662,374,964,2024
Rutherford,2024-12-31,128814,1043,1852,2024
Scott,2024-12-31,13930,145,143,2024
Sequatchie,2024-12-31,5641,83,130,2024
Sevier,2024-12-31,40327,483,555,2024
Shelby,2024-12-31,329762,3876,9941,2024
Smith,2024-12-31,7920,105,166,2024
Stewart,2024-12-31,4120,75,90,2024
Sullivan,2024-12-31,71823,888,2278,2024
Sumner,2024-12-31,72712,867,1855,2024
Tipton,2024-12-31,25523,275,567,2024
Trousdale,2024-12-31,5093,54,119,2024
Unicoi,2024-12-31,7565,114,257,2024
